"Protocol","Requests","Page Views","Total Bytes","Bytes Received","Bytes Sent"
"tcp","10922270","0","41632192416","40885662348","20767320127"
"https","18712981","2083957","556112454335","601112339720","25421245612"
"http","6534883","51288","90758478790","86184137611","4574341179"
"ssl","5212324","0","36345115700","14445521412","3274635512"
"ftp","100","1","220357122","220316853","11269"
